PR_type,bonus,bonus_rate,completed,condition,feedback,frequencyOfFB,info_cost,message,pid,version
none,3.33,0.005,True,0,False,after_each_move,1,full,0,1B.1
none,0.0,0.005,False,1,False,after_each_move,1,simple,1,1B.1
none,3.27,0.005,True,1,False,after_each_move,1,simple,2,1B.1
featureBased,2.75,0.005,True,2,True,after_each_move,1,full,3,1B.1
featureBased,2.44,0.005,True,2,True,after_each_move,1,full,4,1B.1
none,2.24,0.005,True,0,False,after_each_move,1,full,5,1B.1
none,1.5,0.005,True,1,False,after_each_move,1,simple,6,1B.1
none,0.0,0.005,False,1,False,after_each_move,1,simple,7,1B.1
none,1.17,0.005,True,1,False,after_each_move,1,simple,8,1B.1
none,2.98,0.005,True,1,False,after_each_move,1,simple,9,1B.1
featureBased,2.46,0.005,True,2,True,after_each_move,1,full,10,1B.1
none,1.91,0.005,True,0,False,after_each_move,1,full,11,1B.1
featureBased,1.92,0.005,True,3,True,after_each_move,1,simple,12,1B.1
featureBased,3.27,0.005,True,3,True,after_each_move,1,simple,13,1B.1
featureBased,0.95,0.005,True,3,True,after_each_move,1,simple,14,1B.1
none,1.88,0.005,True,1,False,after_each_move,1,simple,15,1B.1
none,0.83,0.005,True,1,False,after_each_move,1,simple,16,1B.1
featureBased,3.33,0.005,True,3,True,after_each_move,1,simple,17,1B.1
none,3.03,0.005,True,1,False,after_each_move,1,simple,18,1B.1
none,2.34,0.005,True,0,False,after_each_move,1,full,19,1B.1
none,2.53,0.005,True,0,False,after_each_move,1,full,20,1B.1
featureBased,2.91,0.005,True,2,True,after_each_move,1,full,21,1B.1
none,3.08,0.005,True,1,False,after_each_move,1,simple,22,1B.1
featureBased,2.56,0.005,True,3,True,after_each_move,1,simple,23,1B.1
featureBased,2.84,0.005,True,2,True,after_each_move,1,full,24,1B.1
none,0.0,0.005,False,0,False,after_each_move,1,full,25,1B.1
featureBased,2.57,0.005,True,3,True,after_each_move,1,simple,26,1B.1
featureBased,1.9,0.005,True,3,True,after_each_move,1,simple,27,1B.1
none,3.35,0.005,True,0,False,after_each_move,1,full,28,1B.1
featureBased,3.14,0.005,True,3,True,after_each_move,1,simple,29,1B.1
none,0.73,0.005,True,1,False,after_each_move,1,simple,30,1B.1
none,1.24,0.005,True,1,False,after_each_move,1,simple,31,1B.1
none,2.84,0.005,True,1,False,after_each_move,1,simple,32,1B.1
none,0.0,0.005,False,0,False,after_each_move,1,full,33,1B.1
none,3.42,0.005,True,0,False,after_each_move,1,full,34,1B.1
featureBased,2.91,0.005,True,2,True,after_each_move,1,full,35,1B.1
featureBased,2.87,0.005,True,2,True,after_each_move,1,full,36,1B.1
featureBased,2.98,0.005,True,2,True,after_each_move,1,full,37,1B.1
featureBased,3.36,0.005,True,2,True,after_each_move,1,full,38,1B.1
featureBased,3.08,0.005,True,2,True,after_each_move,1,full,39,1B.1
featureBased,2.75,0.005,True,2,True,after_each_move,1,full,40,1B.1
none,0.0,0.005,False,0,False,after_each_move,1,full,41,1B.1
none,1.29,0.005,True,0,False,after_each_move,1,full,42,1B.1
none,1.18,0.005,True,0,False,after_each_move,1,full,43,1B.1
featureBased,2.97,0.005,True,2,True,after_each_move,1,full,44,1B.1
none,3.35,0.005,True,0,False,after_each_move,1,full,45,1B.1
none,2.64,0.005,True,0,False,after_each_move,1,full,46,1B.1
featureBased,2.34,0.005,True,2,True,after_each_move,1,full,47,1B.1
featureBased,2.83,0.005,True,3,True,after_each_move,1,simple,48,1B.1
none,3.05,0.005,True,1,False,after_each_move,1,simple,49,1B.1
none,0.68,0.005,True,1,False,after_each_move,1,simple,50,1B.1
none,1.78,0.005,True,0,False,after_each_move,1,full,51,1B.1
featureBased,1.45,0.005,True,3,True,after_each_move,1,simple,52,1B.1
none,1.02,0.005,True,1,False,after_each_move,1,simple,53,1B.1
featureBased,0.0,0.005,False,3,True,after_each_move,1,simple,54,1B.1
none,2.34,0.005,True,1,False,after_each_move,1,simple,55,1B.1
none,3.42,0.005,True,1,False,after_each_move,1,simple,56,1B.1
none,2.75,0.005,True,1,False,after_each_move,1,simple,57,1B.1
none,2.84,0.005,True,0,False,after_each_move,1,full,58,1B.1
featureBased,1.64,0.005,True,3,True,after_each_move,1,simple,59,1B.1
featureBased,2.73,0.005,True,3,True,after_each_move,1,simple,60,1B.1
none,1.49,0.005,True,1,False,after_each_move,1,simple,61,1B.1
none,2.43,0.005,True,0,False,after_each_move,1,full,62,1B.1
featureBased,2.45,0.005,True,2,True,after_each_move,1,full,63,1B.1
featureBased,2.61,0.005,True,2,True,after_each_move,1,full,64,1B.1
none,3.24,0.005,True,0,False,after_each_move,1,full,65,1B.1
none,0.0,0.005,False,1,False,after_each_move,1,simple,66,1B.1
featureBased,3.02,0.005,True,2,True,after_each_move,1,full,67,1B.1
none,0.0,0.005,False,1,False,after_each_move,1,simple,68,1B.1
none,0.88,0.005,True,1,False,after_each_move,1,simple,69,1B.1
