action_times,actions,block,path,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_id,trial_type,pid
"[14269, 17194, 18467]","[u'left', u'left', u'up']",train_basic,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[24, 8, 2]","[14267, 2404, 757]",34.0,"[None, None, None]","[u'', -24, 8, 2, 4, 24, -4, 4, -4, 24, 8, 2, -4]",21429,0.0,21247.0,9.05488131509e+18,mouselab-mdp,0
"[15155, 18087, 18987]","[u'right', u'right', u'down']",train_basic,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-24, 4, 2]","[15153, 2417, 383]",-18.0,"[None, None, None]","[u'', -24, 8, -2, -2, -24, 4, -4, 2, -48, -8, 4, -4]",45741,1.0,23184.0,-8.16534935299e+18,mouselab-mdp,0
"[6624, 10535, 11815]","[u'right', u'right', u'down']",train_basic,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-24, 8, 4]","[6623, 3397, 758]",-12.0,"[None, None, None]","[u'', -24, 4, -2, 4, -24, 8, 4, 4, -24, -8, -4, -2]",61184,2.0,14317.0,2.30326182839e+18,mouselab-mdp,0
"[8480, 14465, 15404]","[u'left', u'left', u'up']",train_basic,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, -8, 4]","[8477, 5463, 424]",44.0,"[None, None, None]","[u'', 24, 4, -4, 2, -48, 8, 2, -4, 48, -8, 4, 2]",79684,3.0,17370.0,6.63672823162e+18,mouselab-mdp,0
"[10869, 12206, 12852]","[u'right', u'right', u'up']",train_basic,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, -8, 4]","[10868, 821, 136]",44.0,"[None, None, None]","[u'', -24, 4, 4, -4, 48, -8, 4, 2, -24, -8, 2, 4]",95292,4.0,14461.0,-3.44355803009e+18,mouselab-mdp,0
"[32772, 33593, 34236]","[u'left', u'left', u'up']",train_basic2,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-24, 8, 2]","[32771, 302, 121]",-14.0,"[None, None, None]","[u'', -48, -8, 4, -4, -24, -8, 4, 2, -24, 8, 2, -2]",134363,5.0,35853.0,4.65301638885e+18,mouselab-mdp,0
"[2791, 6882, 7780]","[u'right', u'right', u'down']",train_basic2,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[24, -8, -4]","[2790, 3578, 378]",12.0,"[None, None, None]","[u'', -48, 8, -2, 2, 24, -8, -4, -4, -48, -4, -4, -4]",144417,6.0,8962.0,-7.37508384281e+18,mouselab-mdp,0
"[2620, 3819, 5345]","[u'left', u'left', u'up']",train_basic2,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, 4, 4]","[2619, 676, 1009]",56.0,"[None, None, None]","[u'', -48, 8, -2, -4, 48, -4, 4, 2, 48, 4, 4, -2]",152355,7.0,6767.0,4.41329592241e+18,mouselab-mdp,0
"[2966, 6148, 6810]","[u'left', u'left', u'up']",train_basic2,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, -4, 4]","[2965, 2664, 151]",48.0,"[None, None, None]","[u'', 48, -4, -4, -4, -48, 8, -4, -2, 48, -4, 4, -2]",161403,8.0,7963.0,3.2746533964e+18,mouselab-mdp,0
"[1988, 2676, 3381]","[u'right', u'right', u'up']",train_basic2,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, 4, 4]","[1988, 170, 184]",56.0,"[None, None, None]","[u'', 48, -4, 2, 2, 48, 4, 4, -4, 48, -8, -2, 4]",167621,9.0,5117.0,8.523654687e+18,mouselab-mdp,0
"[8913, 10015, 11139]","[u'right', u'right', u'up']",train_hidden,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-48, 8, 2]","[8911, 585, 601]",-38.0,"[None, None, None]","[u'', 24, 8, -4, -4, -48, 8, 2, 2, -24, 8, -2, 4]",183784,10.0,13067.0,6.82029765092e+18,mouselab-mdp,0
"[4504, 6416, 7859]","[u'left', u'left', u'up']",train_hidden,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[24, -4, -4]","[4503, 1392, 924]",16.0,"[None, None, None]","[u'', 24, 4, -2, 4, 24, -4, 2, 2, 24, -4, -4, -2]",194593,11.0,9683.0,7.85052528861e+18,mouselab-mdp,0
"[2099, 3010, 3951]","[u'right', u'right', u'up']",train_hidden,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-48, 4, -4]","[2098, 395, 430]",-48.0,"[None, None, None]","[u'', -48, -4, 4, -2, -48, 4, -4, 4, -24, -8, 2, 4]",201812,12.0,6090.0,2.63443329641e+18,mouselab-mdp,0
"[1424, 2350, 3354]","[u'left', u'left', u'up']",train_hidden,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[24, -4, 2]","[1422, 409, 480]",22.0,"[None, None, None]","[u'', -24, 4, 2, -4, 48, 8, 4, -2, 24, -4, 2, 4]",207961,13.0,5029.0,5.38450566538e+18,mouselab-mdp,0
"[1051, 1685, 2337]","[u'left', u'left', u'up']",train_hidden,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, -8, -2]","[1050, 115, 130]",38.0,"[None, None, None]","[u'', -24, 4, -2, -2, -48, -8, 4, -2, 48, -8, -2, 2]",212647,14.0,3578.0,-4.64203023396e+18,mouselab-mdp,0
"[35260, 35823, 36746]","[u'right', u'right', u'down']",train_inspector,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'10', u'6', u'7', u'11', u'12', u'8'], u'time': [12470, 13856, 16180, 18828, 21934, 23822, 25555, 30451]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-48, -4, 4]","[35259, 39, 402]",-48.0,"[None, None, None]","[u'', -48, 4, 4, 4, -48, -4, 2, 4, -48, -8, -4, -2]",254077,15.0,38455.0,3.5903513614e+18,mouselab-mdp,0
"[33730, 34662, 36111]","[u'left', u'left', u'up']",train_inspector,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'10', u'6', u'11', u'1', u'12', u'8', u'2', u'3', u'4', u'7'], u'time': [3935, 6461, 8364, 10544, 12265, 14149, 15563, 18318, 19985, 21380, 21969, 27450]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, -4, 4]","[33729, 413, 926]",48.0,"[None, None, None]","[u'', -24, 8, -2, 4, 24, 4, -4, 2, 48, -4, 4, 4]",292975,16.0,37755.0,-8.94225075726e+18,mouselab-mdp,0
"[23405, 24149, 24734]","[u'left', u'left', u'up']",train_inspector,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'10', u'12', u'6', u'8', u'7', u'11', u'1', u'2', u'4', u'3'], u'time': [1516, 2469, 3349, 4172, 5513, 6325, 7328, 8394, 9532, 10413, 11278, 19817]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, -4, 2]","[23404, 228, 62]",46.0,"[None, None, None]","[u'', -24, -8, 2, 2, -24, -8, 2, -2, 48, -4, 2, -4]",320280,17.0,26191.0,3.33569623558e+14,mouselab-mdp,0
"[20104, 20760, 21695]","[u'left', u'left', u'up']",train_inspector,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'10', u'12', u'6', u'8', u'7', u'11', u'1', u'2', u'3', u'4'], u'time': [2257, 3055, 3764, 4343, 5181, 5955, 8012, 9975, 16286, 18262, 18720, 19270]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-24, 4, -2]","[20101, 143, 413]",-22.0,"[None, None, None]","[u'', -48, -8, -4, -4, -24, -8, -4, 4, -24, 4, -2, -2]",344181,18.0,22779.0,-7.42098709122e+18,mouselab-mdp,0
"[21149, 21963, 22728]","[u'right', u'right', u'up']",train_inspector,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'10', u'6', u'12', u'1', u'8', u'7', u'11', u'3', u'2'], u'time': [1231, 1925, 2788, 3591, 4587, 5783, 9711, 11913, 13360, 17707, 18567]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, -4, 2]","[21148, 293, 242]",46.0,"[None, None, None]","[u'', -48, -4, -2, 4, 48, -4, 2, -4, 24, -4, 4, 2]",369663,19.0,24362.0,-6.24065504107e+18,mouselab-mdp,0
"[19756, 20515, 21562]","[u'right', u'right', u'up']",train_inspect_cost,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'6', u'10', u'7', u'8'], u'time': [10035, 10938, 12781, 14183, 17230, 18233]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[24, -4, 4]","[19755, 237, 523]",18.0,"[None, None, None]","[u'', -48, 8, -4, 4, 24, -4, 4, -4, 24, -8, 2, -4]",395938,20.0,23179.0,8.55918488371e+18,mouselab-mdp,0
"[6217, 7745, 9738]","[u'left', u'left', u'up']",train_inspect_cost,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9'], u'time': [1230, 2011]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[24, -8, 2]","[6216, 1012, 1463]",16.0,"[None, None, None]","[u'', -24, -8, -4, 2, -48, -4, -2, -4, 24, -8, 2, 2]",408549,21.0,11463.0,4.39571797799e+18,mouselab-mdp,0
"[3625, 4539, 5535]","[u'right', u'right', u'up']",train_inspect_cost,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9'], u'time': [1017, 1920]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[24, -4, -2]","[3624, 388, 483]",16.0,"[None, None, None]","[u'', 24, 4, 2, 4, 24, -4, -2, -4, -24, -8, 4, -4]",417051,22.0,7373.0,-3.159164286e+18,mouselab-mdp,0
"[3855, 4675, 5651]","[u'left', u'left', u'up']",train_inspect_cost,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9'], u'time': [1177, 2673]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, -4, 4]","[3853, 297, 455]",46.0,"[None, None, None]","[u'', -24, 8, -2, 2, 24, -8, -4, -2, 48, -4, 4, -4]",425773,23.0,7617.0,-3.20007329874e+18,mouselab-mdp,0
"[2799, 3550, 4382]","[u'right', u'right', u'up']",train_inspect_cost,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9'], u'time': [1228, 1917]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, 4, -4]","[2797, 229, 314]",46.0,"[None, None, None]","[u'', -24, 8, 2, -4, 48, 4, -4, -2, 24, 8, -4, 4]",432948,24.0,6064.0,-2.42139128223e+18,mouselab-mdp,0
"[20982, 21770, 22680]","[u'right', u'right', u'up']",train_final,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9'], u'time': [18951, 19800]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[24, 4, 4]","[20981, 273, 391]",30.0,"[None, None, None]","[u'', 48, -4, -4, -2, 24, 4, 4, -4, -48, 4, 4, -4]",460185,25.0,24007.0,6.76429021649e+18,mouselab-mdp,0
"[4820, 6018, 7545]","[u'left', u'left', u'up']",train_final,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9'], u'time': [1448, 3690]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, -8, -4]","[4819, 673, 1001]",34.0,"[None, None, None]","[u'', -24, 8, 4, 2, -24, 4, -4, 4, 48, -8, -4, -4]",470507,26.0,9209.0,-3.32257243216e+18,mouselab-mdp,0
"[2619, 3320, 4165]","[u'right', u'right', u'up']",train_final,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9'], u'time': [948, 1572]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, 8, 4]","[2618, 178, 330]",58.0,"[None, None, None]","[u'', -24, -8, -2, 4, 48, 8, 4, -4, -48, -8, -2, -4]",477108,27.0,5422.0,7.15258299075e+18,mouselab-mdp,0
"[2776, 3389, 4491]","[u'left', u'left', u'down']",train_final,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9'], u'time': [1134, 1865]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, -4, 4]","[2774, 92, 578]",46.0,"[None, None, None]","[u'', 48, 8, 2, 4, -48, -8, -2, -2, 48, -4, 2, 4]",484558,28.0,6320.0,5.21456941459e+18,mouselab-mdp,0
"[4712, 5233, 6025]","[u'left', u'left', u'up']",train_final,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9'], u'time': [2888, 3824]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, 4, -4]","[4710, 3, 276]",46.0,"[None, None, None]","[u'', 48, 4, -4, 2, -24, 4, 4, -2, 48, 4, -4, 4]",493599,29.0,7952.0,-7.72949551535e+18,mouselab-mdp,0
"[14748, 15862, 17187]","[u'left', u'left', u'up']",test,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'6', u'10'], u'time': [5409, 8094, 11671, 12662]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-48, 8, -2]","[14746, 590, 809]",-46.0,"[None, None, None]","[u'', -48, 4, -2, 4, -48, -8, -2, 4, -48, 8, -2, -4]",543397,30.0,18927.0,2.04519373683e+18,mouselab-mdp,0
"[3527, 4321, 5260]","[u'left', u'left', u'up']",test,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9'], u'time': [1321, 2360]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, 4, 2]","[3525, 268, 409]",52.0,"[None, None, None]","[u'', 24, 4, -2, 4, 24, -8, -2, 4, 48, 4, 2, 2]",553221,31.0,8684.0,-8.8753766642e+18,mouselab-mdp,0
"[4544, 5403, 6581]","[u'left', u'left', u'down']",test,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9'], u'time': [2352, 3388]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-24, -8, -4]","[4543, 328, 652]",-38.0,"[None, None, None]","[u'', 48, -8, -2, -2, -48, 8, -2, 2, -24, -8, -4, -4]",563819,32.0,9475.0,-7.46101378534e+18,mouselab-mdp,0
"[2789, 3497, 4189]","[u'right', u'right', u'up']",test,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9'], u'time': [1042, 1914]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, -8, 4]","[2788, 185, 172]",42.0,"[None, None, None]","[u'', 24, -4, -2, -4, 48, -8, 4, -4, 24, -8, 4, -4]",574489,33.0,9571.0,8.44984425036e+18,mouselab-mdp,0
"[4085, 4761, 5677]","[u'left', u'left', u'up']",test,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9'], u'time': [2283, 3127]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, -4, 4]","[4084, 159, 395]",46.0,"[None, None, None]","[u'', 48, -8, 4, 2, -24, -4, 2, -2, 48, -4, 4, 4]",585596,34.0,9995.0,1.64461216979e+18,mouselab-mdp,0
"[3314, 4187, 5706]","[u'left', u'left', u'up']",test,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9'], u'time': [1600, 2377]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, -8, 2]","[3311, 361, 998]",40.0,"[None, None, None]","[u'', -24, 4, -2, 4, -24, 4, -2, 4, 48, -8, 2, 4]",595628,35.0,8943.0,-7.49607252303e+18,mouselab-mdp,0
"[3220, 4363, 5515]","[u'left', u'left', u'up']",test,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9'], u'time': [1115, 1927]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[24, 4, 2]","[3218, 630, 636]",28.0,"[None, None, None]","[u'', -24, 8, 2, 4, -24, -8, 4, 4, 24, 4, 2, 4]",605502,36.0,8760.0,-6.71163609944e+18,mouselab-mdp,0
"[3732, 5196, 7420]","[u'right', u'right', u'down']",test,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9'], u'time': [1259, 2233]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[24, -4, -4]","[3730, 945, 1700]",14.0,"[None, None, None]","[u'', -24, -8, 2, 2, 24, -4, 2, -4, -24, -4, -2, -4]",615998,37.0,9398.0,8.41111812433e+18,mouselab-mdp,0
"[3445, 4269, 5270]","[u'left', u'left', u'up']",test,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9'], u'time': [1439, 2408]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, 4, 4]","[3443, 305, 479]",54.0,"[None, None, None]","[u'', 24, -4, -4, -2, -24, -4, 4, -2, 48, 4, 4, -2]",625320,38.0,8230.0,-7.34178568824e+18,mouselab-mdp,0
"[5016, 5820, 6756]","[u'right', u'right', u'up']",test,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9'], u'time': [2804, 4134]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[24, 8, -2]","[5015, 283, 419]",28.0,"[None, None, None]","[u'', 24, 8, 4, -2, 24, 8, -2, 2, -48, -4, -4, 2]",635894,39.0,9453.0,-5.96352047714e+18,mouselab-mdp,0
"[6379, 7397, 8515]","[u'right', u'right', u'up']",test,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'5'], u'time': [4317, 5145]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, 8, 4]","[6378, 503, 607]",58.0,"[None, None, None]","[u'', -24, -4, 4, -4, 48, 8, 4, 2, 24, -4, -4, -2]",647632,40.0,10586.0,6.04491226741e+18,mouselab-mdp,0
"[2562, 3436, 5960]","[u'right', u'right', u'down']",test,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9'], u'time': [763, 1739]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, -4, 4]","[2560, 353, 2008]",46.0,"[None, None, None]","[u'', 48, 4, 4, -2, 48, -4, -4, 4, 24, -8, 4, 2]",659008,41.0,10256.0,-7.36150894527e+18,mouselab-mdp,0
"[4149, 5409, 6711]","[u'right', u'right', u'up']",test,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5'], u'time': [859]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, 4, 4]","[4148, 739, 791]",55.0,"[None, None, None]","[u'', -24, -8, 4, 2, 48, 4, 4, 2, 24, -8, -2, -4]",668963,42.0,8843.0,-3.48069097212e+18,mouselab-mdp,0
